iter	Logloss
0	0.623375638
1	0.5681338854
2	0.5170228816
3	0.4657102371
4	0.4273667738
5	0.3909884261
6	0.3550847626
7	0.3354945148
8	0.3061910295
9	0.2818063853
10	0.2614924229
11	0.2442949185
12	0.2283183958
13	0.2118667576
14	0.1991511211
15	0.1869406034
16	0.1775768619
17	0.1671673084
18	0.1564946307
19	0.1485712319
20	0.1411133126
21	0.1364141271
22	0.1300807674
23	0.1243402473
24	0.1200159473
25	0.1152630778
26	0.10940698
27	0.1043144684
28	0.0998736089
29	0.09708807202
30	0.09338830044
31	0.09083136785
32	0.08873836506
33	0.08663243723
34	0.08405284291
35	0.08258006759
36	0.08081279863
37	0.07959452089
38	0.0783632333
39	0.07649945559
40	0.07503207828
41	0.07430511229
42	0.07268713047
43	0.07139372433
44	0.07025085343
45	0.06869810278
46	0.06731641724
47	0.06557541084
48	0.06479415486
49	0.06283861973
50	0.0615029067
51	0.06073847917
52	0.05958974515
53	0.05835498667
54	0.05753196254
55	0.05655159071
56	0.05567606005
57	0.05444599876
58	0.05381386367
59	0.05292182392
60	0.05179205534
61	0.05075586545
62	0.04987760236
63	0.04906776023
64	0.04827388063
65	0.04748342394
66	0.04691680617
67	0.04572162742
68	0.04490744443
69	0.0441679408
70	0.0433405048
71	0.04268529724
72	0.04188262637
73	0.04086106033
74	0.04044110298
75	0.03980153143
76	0.03887220516
77	0.03855273924
78	0.03825891741
79	0.03729751426
80	0.0367192973
81	0.03623441287
82	0.03577002158
83	0.03517337348
84	0.03482240691
85	0.03416493972
86	0.03384093062
87	0.03319321063
88	0.03264263819
89	0.03221325425
90	0.03203975195
91	0.03144015058
92	0.03098603597
93	0.03064232017
94	0.03020825016
95	0.02984609308
96	0.02965542502
97	0.02922727587
98	0.02888271243
99	0.0283702939
100	0.02786886068
101	0.02739712263
102	0.02703842244
103	0.02689449473
104	0.02671579915
105	0.02617821971
106	0.02598505203
107	0.02576613372
108	0.02529731188
109	0.02515914521
110	0.02486638506
111	0.02477684389
112	0.02444869281
113	0.02424859929
114	0.02399830856
115	0.02365326443
116	0.02357180187
117	0.0231762844
118	0.02305790113
119	0.02302494596
120	0.02254190514
121	0.02226166391
122	0.0221612349
123	0.02197383855
124	0.02175308372
125	0.02147029009
126	0.02112339341
127	0.02099175596
128	0.02087479318
129	0.02069894297
130	0.02056044069
131	0.0205359133
132	0.02029616369
133	0.0200244135
134	0.01966457509
135	0.01942949317
136	0.01927245882
137	0.01925402589
138	0.01877682615
139	0.01875391436
140	0.01869462114
141	0.01868260221
142	0.01847039842
143	0.01836607517
144	0.01821425536
145	0.0181977844
146	0.01799507113
147	0.01798188744
148	0.01796592422
149	0.01786468631
150	0.01784973822
151	0.01761104806
152	0.01759821055
153	0.01758902308
154	0.01745597499
155	0.01740992347
156	0.01739979775
157	0.01737178071
158	0.01734819862
159	0.01733683093
160	0.01732350047
161	0.01731053876
162	0.01708233262
163	0.01697221247
164	0.01683030198
165	0.01681844836
166	0.01654917679
167	0.01648069338
168	0.01647280278
169	0.01646427414
170	0.01606507388
171	0.01605443715
172	0.01585545109
173	0.01574734249
174	0.01573383823
175	0.015656943
176	0.01550811352
177	0.01537255114
178	0.01527826202
179	0.01526817317
180	0.01525862281
181	0.01525126117
182	0.01513441992
183	0.01512296798
184	0.01477852747
185	0.01477157147
186	0.01476375112
187	0.0147560208
188	0.01465802181
189	0.01465131355
190	0.01454381145
191	0.01436010946
192	0.01427271462
193	0.01426495444
194	0.01425858025
195	0.01422525907
196	0.01416792357
197	0.01413687682
198	0.01386606132
199	0.01385992843
200	0.01383052644
201	0.01381943844
202	0.01381328364
203	0.01380745699
204	0.01380030032
205	0.01379458429
206	0.01378754136
207	0.01354602499
208	0.0133201013
209	0.0133144026
210	0.01316205048
211	0.01315513206
212	0.01314816766
213	0.0131415103
214	0.01313627887
215	0.01308760843
216	0.01308260533
217	0.01304114152
218	0.01287951441
219	0.01287475219
220	0.01273070181
221	0.01263908638
222	0.01262518636
223	0.01242020739
224	0.01241211187
225	0.01240746929
226	0.01240132118
227	0.01226686184
228	0.01224977984
229	0.01212425366
230	0.01211683785
231	0.01211110893
232	0.01204273074
233	0.01198130855
234	0.01196927775
235	0.01181309367
236	0.01162086386
237	0.01150540055
238	0.01132774108
239	0.01132081314
240	0.01131552159
241	0.01130362159
242	0.01125038573
243	0.01121406944
244	0.01120905058
245	0.01119218293
246	0.01118722793
247	0.01102947314
248	0.01102570168
249	0.011018638
250	0.01101501288
251	0.01101137053
252	0.01100778171
253	0.01099191418
254	0.01098202271
255	0.01097856897
256	0.01086134801
257	0.01081240383
258	0.01077387622
259	0.01056701163
260	0.01056152316
261	0.01055819026
262	0.01055170857
263	0.0105485849
264	0.01054534459
265	0.01042777858
266	0.01035852033
267	0.01033089918
268	0.01014531816
269	0.01013747962
270	0.01012564889
271	0.01012258825
272	0.01011093833
273	0.01005798563
274	0.00994553884
275	0.009942717473
276	0.009942468169
277	0.009898747143
278	0.009895985674
279	0.009896014832
280	0.009854032524
281	0.009803796814
282	0.009767935141
283	0.009764421811
284	0.009603712295
285	0.009540829029
286	0.00948501931
287	0.009448676367
288	0.009445448526
289	0.00935463701
290	0.009315430913
291	0.009170943043
292	0.009065630055
293	0.008914070044
294	0.008912618561
295	0.008912623549
296	0.00890881833
297	0.00887426112
298	0.008841099497
299	0.008806053984
